"";"nace2_code";"nace2_descr";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI";"US_Com";"CN_Com";"KR_Com";"JP_Com";"Period";"RCA_field";"Category";"Category2"
"108";"23";"Manufacture of Other Non-Metallic Mineral Products";0,815351927803019;0,645058345197518;0,464742695123121;1,26076669324893;0;0;0;0;62;"Period 2 (1989-2003)";82,50049060622;"Other";4
"109";"23.1";"Manufacture of Glass and Glass Products";0,838609136468538;1,28593633175677;0,71338027199607;1,01324595658246;0,043655296919595;0;64;0;57;"Period 2 (1989-2003)";98,0041878980555;"Other";4
"110";"23.3";"Manufacture of Clay Building Materials";0,37738008928406;1,59595738485564;0,584588061478654;1,02909841146457;0,216787405735355;0;55;0;57;"Period 2 (1989-2003)";93,5997457423609;"Other";4
"111";"23.42";"Manufacture of Ceramic Sanitary Fixtures";0,709879979149233;1,18488663289138;0,648292463234333;1,00646078815684;0;0;0;0;68;"Period 2 (1989-2003)";95,5079325656292;"Other";4
"112";"23.5";"Manufacture of Cement, Lime and Plaster";0,505753017186388;2,91078878468749;1,20301370979665;1,0118164497185;0,0440673575530125;0;54;61;58;"Period 2 (1989-2003)";93,5168066066594;"Other";4
"113";"24";"Manufacture of Basic Metals";0,387847094494403;1,72080578142444;1,1301517706987;1,11393899375518;0,674786328777171;0;59;56;62;"Period 2 (1989-2003)";85,8103153203519;"Other";4
"114";"24.46";"Processing of Nuclear Fuel";1,77164946900895;1,65723574860499;0,645736471443803;0,63616597572972;0;58;0;59;0;"Period 2 (1989-2003)";90,6516306700122;"Other";4
"115";"25.1";"Manufacture of Structural Metal Products";1,01860071052895;0,749397525552748;0,539348618242436;0,915565370883035;0,158926289705872;0;0;0;55;"Period 2 (1989-2003)";94,9962369994012;"Other";4
"116";"25.2";"Manufacture of Tanks, Reservoirs and Containers of Metal";0,574103239509764;1,92558464444037;0,430558266204949;0,910527945602584;0,491384786333472;0;58;0;0;"Period 2 (1989-2003)";96,5717459112672;"Other";4
"117";"25.3";"Manufacture of Steam Generators, Except Central Heating Hot Water Boilers";0,743628710420577;0,183395171305423;0,416278934973873;1,20763461350407;1,99420521593494;0;0;0;58;"Period 2 (1989-2003)";94,7280488028024;"AI-related codes";2
"118";"25.4";"Manufacture of Weapons and Ammunition";2,47909747044109;0,521317421760778;0,396236785637691;0,214350538153271;0,81952642064094;56;0;0;0;"Period 2 (1989-2003)";93,3697258948572;"Other";4
"119";"25.5";"Forging, Pressing, Stamping and Roll-Forming of Metal; Powder Metallurgy";0,587233172201949;1,62900915819861;0,795719472399408;1,16005074753557;0;0;57;0;58;"Period 2 (1989-2003)";88,2212803353923;"Other";4
"120";"25.6";"Treatment and Coating of Metals; Machining";0,650775459790161;1,1758108129787;0,931986863448806;1,14141949085681;0,154275108102773;0;54;0;57;"Period 2 (1989-2003)";95,7551431684418;"Other";4
"121";"25.7";"Manufacture of Cutlery, Tools and General Hardware";0,809777439261998;0,672794339646528;0,704794674996508;0,729272158053286;0,0159023076574841;0;0;0;0;"Period 2 (1989-2003)";94,2569561493759;"Other";4
"122";"25.9";"Manufacture of Other Fabricated Metal Products";1,00329379912619;0,283545854779717;0,422923069195819;0,752931781778809;0;50;0;0;0;"Period 2 (1989-2003)";93,4233920195963;"Other";4
"123";"25.94";"Manufacture of Fasteners and Screw Machine Products";1,14448476064335;0,241978952786112;0,369448378505725;0,640490960731591;0;58;0;0;0;"Period 2 (1989-2003)";93,861775833529;"Other";4
"124";"26.1";"Manufacture of Electronic Components and Boards";0,770840622469225;0,370367710379249;2,08873413267318;1,19094832541481;0,182744987389592;0;0;55;53;"Period 2 (1989-2003)";46,061773408263;"Surrounding codes";3
"125";"26.11";"Manufacture of Electronic Components";1,42260949097706;4,06776047384861;1,28552145467154;0,854841751461041;0;56;59;57;0;"Period 2 (1989-2003)";87,5782246640895;"Other";4
"126";"26.2";"Manufacture of computers and peripheral equipment";1,41724816469053;0,878525081657544;1,18584485132814;1,10998262417516;7,7170705715838;57;0;63;59;"Period 2 (1989-2003)";4,10793530915048;"AI-core codes";1
"127";"26.3";"Manufacture of Communication Equipment";1,10657491678466;0,693396052319772;1,8520495615865;1,02082454881313;0,799718945939136;54;0;54;0;"Period 2 (1989-2003)";22,2771975370428;"Surrounding codes";3
"128";"26.4";"Manufacture of Consumer Electronics";1,63461490361588;0,441444054836947;1,243095177355;0,944165992028738;0,468926631423511;56;0;62;0;"Period 2 (1989-2003)";78,6204259178259;"AI-related codes";2
"129";"26.5";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation; Watches and Clocks";1,1893926711405;0,758362033943216;0,530977699053893;0,984973585304184;1,73052855634743;58;0;0;0;"Period 2 (1989-2003)";77,7513020498548;"AI-core codes";1
"130";"26.51";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation";1,09944570410404;0,686484049433364;0,533428044333736;1,00109760261711;8,19667069592603;58;0;0;57;"Period 2 (1989-2003)";85,3876322917535;"AI-core codes";1
"131";"26.52";"Manufacture of Watches and Clocks";0,705694722298832;0,871359349152524;0,427458984068568;1,02434757325776;0;0;0;0;65;"Period 2 (1989-2003)";85,6731182139653;"Other";4
