"";"Herfindahl";"Herfindahl_RCA";"Entropy";"Entropy_RCA";"Period"
"LC";0,555555555555556;0,5;0,918;1;"2nd"
"LI";0,0692422742870177;0,0476190476190476;4,595;4,392;"2nd"
"LK";0,0561772853185596;0,0526315789473684;4,443;4,248;"2nd"
"LR";0,140495867768595;0,125;2,914;3;"2nd"
"LS";1;1;0;0;"2nd"
"LT";0,06794493172942;0,032258064516129;4,737;4,954;"2nd"
"LU";0,0623025846186991;0,0384615384615385;4,768;4,7;"2nd"
"LV";0,0508482639856489;0,0333333333333333;4,938;4,907;"2nd"
"LY";0,16;0,142857142857143;2,722;2,807;"2nd"
"MA";0,0761458333333333;0,0454545454545455;4,416;4,459;"2nd"
"MC";0,0688637392485287;0,032258064516129;4,698;4,954;"2nd"
"MD";0,0451388888888889;0,037037037037037;4,973;4,755;"2nd"
"ME";1;1;0;0;"2nd"
"MG";0,112342259156664;0,1;3,371;3,322;"2nd"
"MH";0,5;0,5;1;1;"2nd"
"MK";0,0909090909090909;0,0769230769230769;3,712;3,7;"2nd"
"ML";0,107750472589792;0,1;3,382;3,322;"2nd"
"MM";0,555555555555556;0,5;0,918;1;"2nd"
"MN";0,0528;0,0588235294117647;4,505;4,087;"2nd"
"MO";0,112477682999405;0,0625;3,825;4;"2nd"
"MP";0,333333333333333;0,333333333333333;1,585;1,585;"2nd"
"MQ";0,5;0,5;1;1;"2nd"
