"name";"sector";"field_name";"dgr";"RCA";"n_neighbors";"weighted_degree";"triangles";"centrality_authority";"centrality_betweenness";"centrality_closeness";"centrality_eigen";"centrality_hub";"centrality_subgraph";"centrality_degree";"centrality_closeness_harmonic";"centrality_closeness_residual";"centrality_betweenness_network";"Country";"Period"
"12";"Instruments";"Control";0,708290218704312;1;6;0,923076923076923;10;0,781361993981171;4,08095238095238;0,0384615384615385;0,78136199398117;0,781361993981171;40,9778167833624;6;158,63328465481;14,8265141122907;58;"US";"2nd"
"13";"Instruments";"Medical technology";0,61134409234727;1;6;1,09090909090909;5;0,553789863478237;16,5095238095238;0,0416666666666667;0,553789863478237;0,553789863478237;23,6491251123344;6;193,377320167676;15,0530048294441;146;"US";"2nd"
"14";"Chemistry";"Organic fine chemistry";0,913055192352813;1;4;1,06666666666667;3;0,180296831415456;1,5;0,0277777777777778;0,180296831415456;0,180296831415456;8,62981122318472;4;110,830554525709;14,3218000568225;86;"US";"2nd"
"15";"Chemistry";"Biotechnology";0,73804073496023;1;4;0,727272727272727;4;0,276252344576716;4,10238095238095;0,0344827586206897;0,276252344576716;0,276252344576716;11,1510243516797;4;161,504826105069;14,9229867627941;60;"US";"2nd"
"16";"Chemistry";"Pharmaceuticals";0,825184952224349;1;4;0,888888888888889;3;0,219262023886776;3,93809523809524;0,03125;0,219262023886776;0,219262023886776;9,36714135674477;4;115,099334258909;14,5919675131898;72;"US";"2nd"
"22";"Chemistry";"Micro-structural and nano-technology";0,345557333422115;1;1;0,1;0;0,161080011473806;0;0,0294117647058824;0,161080011473806;0,161080011473806;3,05139860847851;1;163,33112106387;14,8815268967763;0;"US";"2nd"
"23";"Chemistry";"Chemical engineering";0,905932653162935;1;3;0,45;1;0,286183705176803;4,25714285714286;0,0357142857142857;0,286183705176803;0,286183705176803;8,26011959187987;3;189,133374377153;15,0645185743398;90;"US";"2nd"
"3";"Electrical engineering";"Telecommunications";0,782200686442446;1;6;0,923076923076923;12;0,803038516681182;1,99761904761905;0,0384615384615385;0,803038516681182;0,803038516681182;43,539974271596;6;173,957463993959;14,8918174530274;58;"US";"2nd"
"33";"Other fields";"Furniture, games";0,426650313894679;1;4;0,666666666666667;4;0,456339344415667;1,03333333333333;0,0333333333333333;0,456339344415666;0,456339344415667;16,2733468327545;4;171,788797913882;14,8509127129183;46;"US";"2nd"
"34";"Other fields";"Other consumer goods";0,499188367155627;1;3;0,473684210526316;3;0,3425679698012;0;0,032258064516129;0,3425679698012;0,3425679698012;10,4412180793539;3;164,067243203732;14,7912293653963;36;"US";"2nd"
"4";"Electrical engineering";"Digital communication";0,719342947355325;1;6;0,923076923076923;12;0,803038516681182;1,99761904761905;0,0384615384615385;0,803038516681182;0,803038516681182;43,539974271596;6;183,949228042895;14,990572075275;58;"US";"2nd"
"5";"Electrical engineering";"Basic communication processes";0,375745962273333;1;4;0,516129032258065;6;0,605209928574936;0;0,0357142857142857;0,605209928574936;0,605209928574936;25,1730099436267;4;181,748770540685;14,9913139081094;20;"US";"2nd"
"6";"Electrical engineering";"Computer technology";1;1;9;1,6530612244898;17;1;16,9571428571429;0,0454545454545454;1;1;65,8620893209799;9;191,668972658176;14,9233660856722;114;"US";"2nd"
"7";"Electrical engineering";"IT methods for management";0,56611153069172;1;4;0,592592592592593;6;0,577290308436568;0;0,0303030303030303;0,577290308436568;0,577290308436568;23,7284501539018;4;137,638984359892;14,6243511127136;24;"US";"2nd"
"1";"Electrical engineering";"Electrical machinery, apparatus, energy";0,954564005525016;1;12;1,58241758241758;33;1;21,3916666666667;0,0555555555555556;1;1;513,862298978179;12;287,393791507317;15,400660877095;172;"JP";"2nd"
