"";"MORc(Surrounding_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"CH";40,1597531018999;40,1597531018999;3;105;2,88958145383963
"CI";38,3904560905554;38,3904560905554;2;113;2,86808004592799
"CK";43,6983471245889;43,6983471245889;1;89;2,93258426966292
"CL";34,9260397969816;34,9260397969816;2;113;2,78381038300664
"CM";58,2107215821323;58,2107215821323;3;69,3333333333333;3,02168766314834
"CN";41,2769261024002;41,2769261024002;4;78,5;2,83900402470171
"CO";40,1597531018999;40,1597531018999;3;105;2,88958145383963
"CR";16,7195725013449;16,7195725013449;3;99,6666666666667;2,77045277847694
"CS";40,4697857616706;40,4697857616706;3;75;2,80781060971463
"CT";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"CU";25,5936373937036;25,5936373937036;3;104,333333333333;2,80860508808993
"CV";0;0;1;87;2,68965517241379
"CW";0;0;1;87;2,68965517241379
"CY";23,4642661571559;23,4642661571559;4;97;2,81098565127344
"CZ";47,8153592197437;47,8153592197437;4;91;2,82534935568585
"DD";57,240262348932;57,240262348932;2;69;2,78261866544371
"DE";47,8153592197437;47,8153592197437;4;91;2,82534935568585
"DK";56,6173598646544;56,6173598646544;3;90;2,84829783109534
"DM";0;0;1;87;2,68965517241379
"DO";49,1876965847953;49,1876965847953;3;91,6666666666667;2,78960438436016
"DZ";48,4679550213247;48,4679550213247;2;93;2,63384477878743
"EC";40,1597531018999;40,1597531018999;3;105;2,88958145383963
"EE";23,4642661571559;23,4642661571559;4;97;2,81098565127344
"EG";16,7195725013449;16,7195725013449;3;99,6666666666667;2,77045277847694
"EP";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"ER";24,0049850346604;24,0049850346604;1;75;2,98666666666667
"ES";40,1597531018999;40,1597531018999;3;105;2,88958145383963
