"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period";"Label";"Round_general";"Round_AI";"Total_RCA"
"US";32;0,912663677869291;1,08331678361799;"1989-2003";"Transport";0;1;1
"US";33;1,31313216256176;0,704505366378666;"1989-2003";"Furniture, games";1;0;1
"US";34;1,10431025482178;0,651930339036975;"1989-2003";"Other consumer goods";1;0;1
"US";35;0,75078837049996;1,09885113749628;"1989-2003";"Civil engineering";0;1;1
"US";4;1,69530094457296;1,70622393419833;"1989-2003";"Digital communication";1;1;2
"US";5;1,36265812132984;1,07660327115613;"1989-2003";"Basic communication processes";1;1;2
"US";6;1,56708947787916;0,970888063928026;"1989-2003";"Computer technology";1;0;1
"US";7;1,75127664762218;1,68389950889106;"1989-2003";"IT methods for management";1;1;2
"US";8;0,760303377045001;0,926531300025276;"1989-2003";"Semiconductors";0;0;0
"US";9;0,614791123707043;0,541479331183603;"1989-2003";"Optics";0;0;0
"CN";1;0,940306809347488;1,22495882657368;"2004-2018";"Electrical machinery, apparatus, energy";0;1;1
"CN";10;1,18443667018305;1,17927488324877;"2004-2018";"Measurement";1;1;2
"CN";11;0,996259808428732;0,998845615007664;"2004-2018";"Analysis of biological materials";0;0;0
"CN";12;1,12307311725261;1,13315225331455;"2004-2018";"Control";1;1;2
"CN";13;0,711594742446881;0,824911636671105;"2004-2018";"Medical technology";0;0;0
"CN";14;1,26690599738918;0,341069234392861;"2004-2018";"Organic fine chemistry";1;0;1
"CN";15;1,25231606037308;0,659093250245663;"2004-2018";"Biotechnology";1;0;1
"CN";16;1,56194801442073;0,544514040872813;"2004-2018";"Pharmaceuticals";1;0;1
"CN";17;1,33682023883588;1,47796668236906;"2004-2018";"Macromolecular chemistry, polymers";1;1;2
"CN";18;1,57903631826793;1,32239124211969;"2004-2018";"Food chemistry";1;1;2
"CN";19;1,54328924753676;1,1368974479762;"2004-2018";"Basic materials chemistry ";1;1;2
"CN";2;0,592276228278099;0,776669853040949;"2004-2018";"Audio-visual technology";0;0;0
"CN";20;1,48363121530918;1,26405045202617;"2004-2018";"Materials, metallurgy";1;1;2
"CN";21;1,02546661521697;1,30743206517263;"2004-2018";"Surface technology, coating";1;1;2
"CN";22;1,07769645180556;0,738983341184532;"2004-2018";"Micro-structural and nano-technology";1;0;1
"CN";23;1,38058485555909;1,03113954583888;"2004-2018";"Chemical engineering";1;1;2
"CN";24;1,33636767640067;0,882674546414857;"2004-2018";"Environmental technology";1;0;1
"CN";25;1,02412913804582;0,906486231853026;"2004-2018";"Handling";1;0;1
"CN";26;1,39339855870264;1,06811037549361;"2004-2018";"Machine tools";1;1;2
"CN";27;0,636426626388486;0,912570032066804;"2004-2018";"Engines, pumps, turbines";0;0;0
"CN";28;0,960707355401211;0,766353094561737;"2004-2018";"Textile and paper machines";0;0;0
"CN";29;1,23329781629316;1,04887958103611;"2004-2018";"Other special machines";1;1;2
"CN";3;0,691583265353046;0,81235757364257;"2004-2018";"Telecommunications";0;0;0
"CN";30;1,0790836829351;1,11303663733967;"2004-2018";"Thermal processes and apparatus";1;1;2
"CN";31;0,829080523079853;1,14206516364882;"2004-2018";"Mechanical elements";0;1;1
"CN";32;0,628387152327684;0,781210960680791;"2004-2018";"Transport";0;0;0
"CN";33;0,682201858038695;0,717869531436402;"2004-2018";"Furniture, games";0;0;0
"CN";34;0,895632412303777;0,835372472643384;"2004-2018";"Other consumer goods";0;0;0
"CN";35;0,994704474132222;0,941607805702871;"2004-2018";"Civil engineering";0;0;0
"CN";4;1,13834039258685;0,960159593268479;"2004-2018";"Digital communication";1;0;1
"CN";5;0,554598468997305;0,905254592951051;"2004-2018";"Basic communication processes";0;0;0
"CN";6;0,871489314360809;0,984232598529531;"2004-2018";"Computer technology";0;0;0
